"FinancialYear","HBR","HBRQF","SIMD","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF","HospitalResidentsCount","HospitalResidentsCountQF","HospitalResidentsRates","HospitalResidentsRatesQF"
"1998/99","S08000015"," ",1,"SMR04"," ","985"," ","1147.23"," ","660"," ","768.7"," ","150"," ","174.71"," "
"1998/99","S08000015"," ",2,"SMR04"," ","830"," ","739.51"," ","570"," ","507.85"," ","145"," ","129.19"," "
"1998/99","S08000015"," ",3,"SMR04"," ","415"," ","609.53"," ","285"," ","418.59"," ","80"," ","117.5"," "
"1998/99","S08000015"," ",4,"SMR04"," ","245"," ","449.44"," ","185"," ","339.37"," ","70"," ","128.41"," "
"1998/99","S08000015"," ",5,"SMR04"," ","210"," ","410.98"," ","130"," ","254.42"," ","25"," ","48.93"," "
"1998/99","S08000016"," ",1,"SMR04"," ","20"," ","622.08"," ","15"," ","466.56"," ","0"," ","0"," "
"1998/99","S08000016"," ",2,"SMR04"," ","55"," ","785.83"," ","40"," ","571.51"," ","5"," ","71.44"," "
"1998/99","S08000016"," ",3,"SMR04"," ","255"," ","713.65"," ","170"," ","475.76"," ","55"," ","153.92"," "
"1998/99","S08000016"," ",4,"SMR04"," ","225"," ","509.43"," ","160"," ","362.26"," ","50"," ","113.21"," "
"1998/99","S08000016"," ",5,"SMR04"," ","95"," ","596.47"," ","70"," ","439.51"," ","20"," ","125.57"," "
"1998/99","S08000017"," ",1,"SMR04"," ","120"," ","969.62"," ","85"," ","686.81"," ","35"," ","282.81"," "
"1998/99","S08000017"," ",2,"SMR04"," ","215"," ","683.04"," ","160"," ","508.31"," ","50"," ","158.85"," "
